,ds,y
634,2017-09-26,11409
635,2017-09-27,10288
636,2017-09-28,5244
637,2017-09-29,11642
638,2017-09-30,11644
639,2017-10-01,11472
640,2017-10-02,11353
641,2017-10-03,10596
642,2017-10-04,10936
643,2017-10-05,10855
644,2017-10-06,6075
645,2017-10-07,5943
646,2017-10-08,7988
647,2017-10-09,4632
648,2017-10-10,7590
649,2017-10-11,4612
650,2017-10-12,4378
651,2017-10-13,7856
652,2017-10-14,7877
653,2017-10-15,9427
654,2017-10-16,10300
655,2017-10-17,10202
656,2017-10-18,9955
657,2017-10-19,9652
658,2017-10-20,9080
659,2017-10-21,9324
660,2017-10-22,3379
661,2017-10-23,6393
662,2017-10-24,9360
663,2017-10-25,9326
664,2017-10-26,9003
665,2017-10-27,7113
666,2017-10-28,2932
667,2017-10-29,8951
668,2017-10-30,8621
669,2017-10-31,6713
670,2017-11-01,7805
671,2017-11-02,7977
672,2017-11-03,1737
673,2017-11-04,5354
674,2017-11-05,5459
675,2017-11-06,772
676,2017-11-07,1796
677,2017-11-08,2473
678,2017-11-09,7960
679,2017-11-10,7969
680,2017-11-11,3383
681,2017-11-12,6667
682,2017-11-13,4210
683,2017-11-14,7423
684,2017-11-15,7566
685,2017-11-16,7442
686,2017-11-17,6406
687,2017-11-18,7496
688,2017-11-19,7507
689,2017-11-20,4934
690,2017-11-21,7035
691,2017-11-22,6042
692,2017-11-23,7273
693,2017-11-24,6489
694,2017-11-25,7187
695,2017-11-26,7113
696,2017-11-27,6960
697,2017-11-28,6729
698,2017-11-29,6507
699,2017-11-30,6463
700,2017-12-01,1799
701,2017-12-02,6437
702,2017-12-03,6714
703,2017-12-04,4540
704,2017-12-05,1872
705,2017-12-06,3030
706,2017-12-07,1472
707,2017-12-08,851
708,2017-12-09,6505
709,2017-12-10,6492
710,2017-12-11,3605
711,2017-12-12,6522
712,2017-12-13,6400
713,2017-12-14,4284
714,2017-12-15,6223
715,2017-12-16,4124
716,2017-12-17,5801
717,2017-12-18,5725
718,2017-12-19,866
